id,nome,status,estado_id
389,CORIBE,1,5
390,CORONEL JOAO SA,1,5
391,CORRENTINA,1,5
392,COTEGIPE,1,5
393,CRAVOLANDIA,1,5
394,CRISOPOLIS,1,5
395,CRISTOPOLIS,1,5
396,CRUZ DAS ALMAS,1,5
397,CURACA,1,5
398,DARIO MEIRA,1,5
399,DIAS D`AVILA,1,5
400,DOM BASILIO,1,5
401,DOM MACEDO COSTA,1,5
402,ELISIO MEDRADO,1,5
403,ENCRUZILHADA,1,5
404,ENTRE RIOS,1,5
405,ERICO CARDOSO,1,5
406,ESPLANADA,1,5
407,EUCLIDES DA CUNHA,1,5
408,EUNAPOLIS,1,5
409,FATIMA,1,5
410,FEIRA DA MATA,1,5
411,FEIRA DE SANTANA,1,5
412,FILADELFIA,1,5
413,FIRMINO ALVES,1,5
414,FLORESTA AZUL,1,5
415,FORMOSA DO RIO PRETO,1,5
416,GANDU,1,5
417,GAVIAO,1,5
418,GENTIO DO OURO,1,5
419,GLORIA,1,5
420,GONGOGI,1,5
421,GOVERNADOR MANGABEIRA,1,5
422,GUAJERU,1,5
423,GUANAMBI,1,5
424,GUARATINGA,1,5
425,HELIOPOLIS,1,5
426,IACU,1,5
427,IBIASSUCE,1,5
428,IBICARAI,1,5
429,IBICOARA,1,5
430,IBICUI,1,5
431,IBIPEBA,1,5
432,IBIPITANGA,1,5
433,IBIQUERA,1,5
434,IBIRAPITANGA,1,5
435,IBIRAPUA,1,5
436,IBIRATAIA,1,5
437,IBITIARA,1,5
438,IBITITA,1,5
439,IBOTIRAMA,1,5
440,ICHU,1,5
441,IGAPORA,1,5
442,IGRAPIUNA,1,5
443,IGUAI,1,5
444,ILHEUS,1,5
445,INHAMBUPE,1,5
446,IPECAETA,1,5
447,IPIAU,1,5
448,IPIRA,1,5
449,IPUPIARA,1,5
450,IRAJUBA,1,5
451,IRAMAIA,1,5
452,IRAQUARA,1,5
453,IRARA,1,5
454,IRECE,1,5
455,ITABELA,1,5
456,ITABERABA,1,5
457,ITABUNA,1,5
458,ITACARE,1,5
459,ITAETE,1,5
460,ITAGI,1,5
461,ITAGIBA,1,5
462,ITAGIMIRIM,1,5
463,ITAGUACU DA BAHIA,1,5
464,ITAJU DO COLONIA,1,5
465,ITAJUIPE,1,5
466,ITAMARAJU,1,5
467,ITAMARI,1,5
468,ITAMBE,1,5
469,ITANAGRA,1,5
470,ITANHEM,1,5
471,ITAPARICA,1,5
472,ITAPE,1,5
473,ITAPEBI,1,5
474,ITAPETINGA,1,5
475,ITAPICURU,1,5
476,ITAPITANGA,1,5
477,ITAQUARA,1,5
478,ITARANTIM,1,5
479,ITATIM,1,5
480,ITIRUCU,1,5
481,ITIUBA,1,5
482,ITORORO,1,5
483,ITUACU,1,5
484,ITUBERA,1,5
485,IUIU,1,5
486,JABORANDI,1,5
487,JACARACI,1,5
488,JACOBINA,1,5
489,JAGUAQUARA,1,5
490,JAGUARARI,1,5
491,JAGUARIPE,1,5
492,JANDAIRA,1,5
493,JEQUIE,1,5
494,JEREMOABO,1,5
495,JIQUIRICA,1,5
496,JITAUNA,1,5
497,JOAO DOURADO,1,5
498,JUAZEIRO,1,5
499,JUCURUCU,1,5
500,JUSSARA,1,5
501,JUSSARI,1,5
502,JUSSIAPE,1,5
503,LAFAIETE COUTINHO,1,5
504,LAGOA REAL,1,5
505,LAJE,1,5
506,LAJEDAO,1,5
507,LAJEDINHO,1,5
508,LAJEDO DO TABOCAL,1,5
509,LAMARAO,1,5
510,LAPAO,1,5
511,LAURO DE FREITAS,1,5
512,LENCOIS,1,5
513,LICINIO DE ALMEIDA,1,5
514,LIVRAMENTO DE NOSSA SENHORA,1,5
515,LUIS EDUARDO MAGALHAES,1,5
516,MACAJUBA,1,5
517,MACARANI,1,5
518,MACAUBAS,1,5
519,MACURURE,1,5
520,MADRE DE DEUS,1,5
521,MAETINGA,1,5
522,MAIQUINIQUE,1,5
523,MAIRI,1,5
524,MALHADA,1,5
525,MALHADA DE PEDRAS,1,5
526,MANOEL VITORINO,1,5
527,MANSIDAO,1,5
528,MARACAS,1,5
529,MARAGOGIPE,1,5
530,MARAU,1,5
531,MARCIONILIO SOUZA,1,5
532,MASCOTE,1,5
533,MATA DE SAO JOAO,1,5
534,MATINA,1,5
535,MEDEIROS NETO,1,5
536,MIGUEL CALMON,1,5
537,MILAGRES,1,5
538,MIRANGABA,1,5
539,MIRANTE,1,5
540,MONTE SANTO,1,5
541,MORPARA,1,5
542,MORRO DO CHAPEU,1,5
543,MORTUGABA,1,5
544,MUCUGE,1,5
545,MUCURI,1,5
546,MULUNGU DO MORRO,1,5
547,MUNDO NOVO,1,5
548,MUNIZ FERREIRA,1,5
549,MUQUEM DE SAO FRANCISCO,1,5
550,MURITIBA,1,5
551,MUTUIPE,1,5
552,NAZARE,1,5
553,NILO PECANHA,1,5
554,NORDESTINA,1,5
555,NOVA CANAA,1,5
556,NOVA FATIMA,1,5
557,NOVA IBIA,1,5
558,NOVA ITARANA,1,5
559,NOVA REDENCAO,1,5
560,NOVA SOURE,1,5
561,NOVA VICOSA,1,5
562,NOVO HORIZONTE,1,5
563,NOVO TRIUNFO,1,5
564,OLINDINA,1,5
565,OLIVEIRA DOS BREJINHOS,1,5
566,OURICANGAS,1,5
567,OUROLANDIA,1,5
568,PALMAS DE MONTE ALTO,1,5
569,PALMEIRAS,1,5
570,PARAMIRIM,1,5
571,PARATINGA,1,5
572,PARIPIRANGA,1,5
573,PAU BRASIL,1,5
574,PAULO AFONSO,1,5
575,PE DE SERRA,1,5
576,PEDRAO,1,5
577,PEDRO ALEXANDRE,1,5
578,PIATA,1,5
579,PILAO ARCADO,1,5
580,PINDAI,1,5
581,PINDOBACU,1,5
582,PINTADAS,1,5
583,PIRAI DO NORTE,1,5
584,PIRIPA,1,5
585,PIRITIBA,1,5
586,PLANALTINO,1,5
587,PLANALTO,1,5
588,POCOES,1,5
589,POJUCA,1,5
590,PONTO NOVO,1,5
591,PORTO SEGURO,1,5
592,POTIRAGUA,1,5
593,PRADO,1,5
594,PRESIDENTE DUTRA,1,5
